¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ç(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.6941
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 17.68366
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.208752
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.454577
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.722037
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.014055
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.334062
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.686266
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.075626
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.508335
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.001226
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.564707
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20555
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93291
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57051
ï(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35455
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75121
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.54782
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.26515
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.12746
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.06235
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.09854
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.19868
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.36861
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.69622
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 17.74475
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 17.93752
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 17.97393
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 17.87545
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 17.60629
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.208378
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.454146
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.721568
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.013525
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.333507
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.685633
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.074926
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.50754
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.997283
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.560228
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20048
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.92317
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54201
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31389
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.72779
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.16354
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.93685
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.82766
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.77883
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.81311
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.9189
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.09034
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.40409
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 18.02094
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 18.22799
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 18.26606
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 18.16293
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 17.88096
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.207978
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.453709
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.721104
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.013017
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.332944
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.685006
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.074268
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.506794
ò(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.993315
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.555742
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19533
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91407
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5141
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27257
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.27523
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.84358
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.62712
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.54372
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.50967
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.54219
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.65301
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.82562
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.12649
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.98932
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 18.53166
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 18.57152
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 18.46342
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 18.1678
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.207589
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.453314
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.720645
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.012512
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.332397
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.684414
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.073591
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.506027
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.989318
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.551198
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19019
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90556
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48677
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.23064
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.90728
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.54156
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.34776
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.27449
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.25389
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.28477
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.40005
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.57358
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.86516
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.7186
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 18.84936
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 18.89112
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 18.77772
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 16.85974
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.207202
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.452916
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.720213
ï(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.012045
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.331874
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.683832
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.07295
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.505322
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.988496
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.546659
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18496
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89762
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47606
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.19334
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.56246
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.25609
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.08961
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.01896
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.0106
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.03996
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.15921
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.33339
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.62182
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.46006
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 16.66855
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 16.66697
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 16.66943
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 16.86796
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.206871
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.452516
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.719776
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.011572
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.331359
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.683264
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.072308
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.504623
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.987682
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.542084
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17973
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89032
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46791
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16364
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.23877
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 11.98595
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 11.84439
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 11.77617
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 11.77897
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 11.80692
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 11.92968
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.10432
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.38959
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.21295
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 16.94407
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 16.90396
ä(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 16.97465
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 17.18333
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.20649
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.452138
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.719365
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.011117
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.33085
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.682723
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.071712
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.503954
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.986941
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.53747
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17446
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88358
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46044
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13462
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 11.93441
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 11.73001
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 11.62924
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 11.61332
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 11.59971
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 11.5913
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 11.71078
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 11.88567
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.16778
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.9766
(406.50, 14.46, 245.58) (435.03, 9.89, 233.86) (2.32, 1.85, 2.92) Tools 16.8797
(406.50, 14.46, 245.58) (435.03, 9.89, 233.86) (2.32, 1.85, 2.92) Tools 16.93285
(406.50, 14.46, 245.58) (435.03, 9.89, 233.86) (2.32, 1.85, 2.92) Tools 16.85342
(406.50, 14.46, 245.58) (435.03, 9.89, 233.86) (2.32, 1.85, 2.92) Tools 16.83532
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.206155
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.451761
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.718965
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.01068
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.330383
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.682184
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.071113
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.50328
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.986197
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.532827
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16918
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87745
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45362
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 12.05315
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 11.78967
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 11.76892
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 11.75054
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.95405
