¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¶(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.89814
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.45954
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.408352
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.601621
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.809471
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.034561
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.286712
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.55407
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.84645
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.165306
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.508238
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.883464
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.302793
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.760109
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.276122
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.837585
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.50062
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.18936
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.00128
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.95078
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.04777
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.3776
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.07389
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.27206
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.21355
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.394828
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.586789
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.793443
­(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.017191
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.267293
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.532768
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.823119
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.139748
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.479742
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.851953
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.267694
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.720198
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.231167
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.785275
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.43659
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.11589
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.91438
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.84714
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.92304
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.22403
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.80722
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.97567
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.82548
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.381451
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.572145
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.777624
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.000051
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.248031
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.511756
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.80011
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.114579
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.45171
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.820965
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.233179
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.681015
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.187022
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.734033
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.37401
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.04401
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.82946
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.74615
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.80153
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.07475
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.61912
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.69858
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.45263
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.368221
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.557688
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.762009
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.983137
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.229026
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.49103
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.777423
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.089793
¦(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.424135
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.790496
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.199244
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.64255
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.143679
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.683845
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.31285
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.97369
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.74648
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.64771
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.68317
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.92962
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.43669
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.45708
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.09419
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.355126
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.543421
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.746601
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.966449
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.210279
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.470593
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.755059
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.06539
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.397018
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.760544
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.165855
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.6048
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.101129
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.634695
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.25308
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.90492
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.66538
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.55175
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.56786
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.78851
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.25973
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.10545
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.75216
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.342051
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.529342
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.7314
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.949991
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.19179
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.450442
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.733016
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.041371
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.370355
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.731106
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.132583
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.567757
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.059361
¨(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.586573
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.19468
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.83764
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.58626
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.45823
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.45662
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.65131
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.08805
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.88094
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.45746
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.97134
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.329149
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.515452
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.716406
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.93376
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.17356
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.430577
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.711291
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.017729
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.344143
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.702176
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.099923
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.531412
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.01837
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.539459
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.13763
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.77185
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.50981
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.36707
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.34842
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.51789
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.92146
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.66377
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.13088
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.57497
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.31642
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.50175
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.701622
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.917758
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.155588
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.411
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.689888
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.994469
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.318382
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.673753
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.067872
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.495762
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.977814
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.493343
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.08191
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.70751
¢(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.43521
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.27822
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.24309
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.38814
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.7598
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.45364
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.5655
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.14876
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.303865
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.48824
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.687044
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.901984
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.137875
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.391709
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.668803
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.971586
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.293067
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.645835
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.036425
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.460797
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.937539
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.448212
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.02748
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.6446
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.36242
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.19164
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.14056
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.26196
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.6029
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.25028
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.31022
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.70663
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.291486
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.474919
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.672674
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.886439
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.120419
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.372704
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.648037
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.949079
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.268197
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.618415
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.005573
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.426513
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.89811
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.404051
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.974333
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.5831
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.2914
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.10726
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.04075
¦(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.13924
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.4506
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.05342
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.06391
