¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
æ(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.520725
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.744645
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48953
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35373
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18451
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21082
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.08686
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.17652
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.26992
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.46194
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.92581
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.76228
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.957262
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.171119
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.423354
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.665196
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.924894
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.204535
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.556507
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.711867
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45827
Î(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1174
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10759
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07379
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.21132
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.30312
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.39875
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.55172
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.49877
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.89992
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.703853
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.895105
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.099432
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.359536
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.601328
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.856372
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.130804
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.426746
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.679384
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42637
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89188
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19564
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93584
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.5827
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.43458
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.53255
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.64471
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.09522
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.39762
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.646702
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.834438
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.03445
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.283901
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.538907
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.789444
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.058834
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.349209
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.647153
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3938
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67646
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96754
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79708
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.98689
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.57109
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.67152
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.77608
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.9143
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.92242
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.87746
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.5909
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.775109
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.971342
É(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.210073
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.477885
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.724074
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.988608
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.273636
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.540242
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20747
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47054
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74974
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04644
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.42108
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.71286
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.81588
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.92313
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 13.16552
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.47224
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.35523
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.536322
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.717201
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.909736
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.137938
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.40135
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.66025
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.920115
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.199862
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.244639
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02072
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27357
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54163
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82624
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33143
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.88079
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.96587
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 13.07594
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 13.27425
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.17889
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.88646
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.90795
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.482978
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.660593
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.849573
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.067515
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.325307
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.597909
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.853209
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.127933
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.962811
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.841791
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.085
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34265
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61588
Ë(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90617
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 13.32014
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 13.12174
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 13.23478
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 13.38685
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.91964
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.50156
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.32516
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.68174
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.430881
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.605316
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.790844
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.998658
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.251077
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.523866
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.787935
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.057762
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.693991
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.593848
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.904348
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15218
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41482
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69357
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98984
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 13.28375
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 13.39993
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 13.52081
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.67034
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.24144
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.8627
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.94957
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.379932
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.551301
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.733482
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.93141
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.178596
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.445575
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.7242
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.989316
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.437383
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.359626
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.620308
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.969822
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2225
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49037
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77487
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 13.4522
