¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
à(418.20, 13.41, 327.22) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 6.953854
(418.20, 13.41, 327.22) (403.02, 10.55, 298.23) (1.19, 1.67, 1.17) Tools 17.19719
(418.20, 13.41, 327.22) (403.02, 10.55, 298.23) (1.19, 1.67, 1.17) Tools 17.30523
(418.20, 13.41, 327.22) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 6.444366
(418.20, 13.41, 327.22) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 6.467948
(418.20, 13.41, 327.22) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 6.49297
(418.20, 13.41, 327.22) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 6.519465
(418.20, 13.41, 327.22) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 6.601974
(418.20, 13.41, 327.22) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 6.998298
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.814177
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.926285
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.043074
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.164729
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.291597
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.42387
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.561834
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.705803
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.856157
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01326
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19808
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40736
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62753
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85932
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10372
(418.20, 13.41, 327.22) (403.02, 10.55, 298.23) (1.19, 1.67, 1.17) Tools 17.10931
(418.20, 13.41, 327.22) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 6.205579
(418.20, 13.41, 327.22) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 6.181484
(418.20, 13.41, 327.22) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 6.158772
(418.20, 13.41, 327.22) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 6.219144
(418.20, 13.41, 327.22) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 6.568201
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.75053
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.859463
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.972891
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.091064
Å(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.214237
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.342648
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.476488
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.616156
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.76196
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.914219
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09607
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2993
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51293
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73778
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97467
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22446
(418.20, 13.41, 327.22) (403.02, 10.55, 298.23) (1.19, 1.67, 1.17) Tools 17.10714
(418.20, 13.41, 327.22) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 6.225029
(418.20, 13.41, 327.22) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 6.20088
(418.20, 13.41, 327.22) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 6.178118
(418.20, 13.41, 327.22) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 6.189069
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.63253
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.796209
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.906438
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.021294
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.140922
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.265596
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.395596
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.531184
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.672625
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.820273
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.999098
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1966
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40415
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62241
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8522
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09435
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3498
(418.20, 13.41, 327.22) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 6.245791
(418.20, 13.41, 327.22) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 6.221584
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.096945
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.330553
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.579757
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.843519
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.955173
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.071442
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.192613
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.318878
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.450583
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.587925
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.731213
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.906977
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09905
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30077
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51285
¶(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73591
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97085
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21857
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47999
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.630717
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.83465
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.05136
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.282097
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.528096
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.790998
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.005679
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.123446
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.24621
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.374182
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.507598
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.646767
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.819366
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00633
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20257
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40872
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62546
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85362
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09398
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3475
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61519
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.591018
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.792594
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.006744
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.234656
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.477646
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.737148
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.014875
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.177343
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.301769
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.431476
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.5667
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.736108
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.918169
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1092
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30976
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52054
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74224
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97572
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22178
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48138
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75502
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.552141
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.751443
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.963099
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.188311
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.428319
¹(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.684552
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.958646
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.233145
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.359305
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.490821
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.656878
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.834328
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02041
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21569
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42079
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63531
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85973
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09607
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34515
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60802
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92793
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.514147
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.711174
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.920437
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.142972
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.380084
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.633121
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.903732
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.193711
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.418881
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.581526
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.753363
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.932616
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12061
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31791
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52518
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74303
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9723
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2138
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46845
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76097
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24654
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.476896
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.671787
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.878676
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.098661
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.332962
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.58293
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.861479
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.178888
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.498057
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.669571
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.844086
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02702
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2189
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42035
·(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63202
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85461
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08893
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33587
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60182
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07207
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58459
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.440491
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.633261
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.837853
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.067686
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.325316
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.601686
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.898846
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.219078
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.523213
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.759798
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.937917
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12464
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32057
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52639
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74267
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97018
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20982
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46242
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90578
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40191
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.416029
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.628937
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.856027
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.098665
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.358464
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.637226
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.937
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.248045
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.549228
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.853004
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03488
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2256
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4258
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63612
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85724
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08996
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33513
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74706
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22781
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7522
