¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
õ(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 7.278124
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.880877
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 7.104155
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20907
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6768
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17278
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69499
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.21454
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.46818
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.4749
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.47565
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.49076
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.51009
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.386105
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.398056
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.412747
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.449697
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.488153
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.528169
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.575887
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.658876
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.745873
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.890393
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.736783
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.851355
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 7.072607
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21702
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66475
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14678
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.66698
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.13899
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.51377
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.52059
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.376784
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.388638
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.402664
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.439398
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.477629
€ (417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.517414
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.563591
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.646084
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.732554
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.871681
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.71078
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.822796
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 7.042097
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.09874
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.64224
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12256
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.64092
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.06378
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.57396
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.58089
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.59205
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.368201
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.379966
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.393246
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.429779
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.467803
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.50737
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.551902
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.633924
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.719894
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.85338
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.685936
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.795186
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 7.012609
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99134
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.62138
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1002
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.61684
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.8157
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.63867
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.64573
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.360351
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.372035
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.384637
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.420834
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.458664
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.498031
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.540814
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.622391
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.707888
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.835485
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.66223
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.768508
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.984125
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92384
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28005
ü(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07963
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59466
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.34896
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.70798
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.71517
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.353228
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.364837
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.377363
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.412555
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.450207
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.489389
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.530319
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.611476
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.696527
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.817992
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 5.032879
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.74275
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.95663
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85894
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0935
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.89673
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.57444
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.13007
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.78193
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.78927
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.346824
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.358366
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.370825
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.404939
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.442427
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.481439
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.522032
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.601175
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.685805
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.800897
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 5.014172
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.718241
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.930106
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79657
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0287
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.46733
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.55613
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.11035
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.86062
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.86811
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.87988
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.341136
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.35262
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.365018
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.39798
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.435318
