¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Î (415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.941947
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.948991
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.939945
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.932271
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.925964
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.921017
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.917424
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.915182
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.91429
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.914746
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.916551
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.919704
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.924211
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.930076
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.937305
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.945905
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.955884
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15098
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17383
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23636
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.87209
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.90091
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.24464
(415.85, 12.92, 329.65) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 19.66494
(415.85, 12.92, 329.65) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 19.74648
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.944855
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.934423
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.92537
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.917689
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.91137
É (415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.906407
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.902796
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.900535
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.899619
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.900048
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.901822
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.904944
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.909418
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.915245
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.922432
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.930987
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.940918
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22752
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18096
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.35218
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.92091
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.95699
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.2119
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.26088
(415.85, 12.92, 329.65) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 19.68003
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.931664
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.921228
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.912169
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.904479
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.898149
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.893173
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.889546
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.887265
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.886328
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.886733
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.888481
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.891575
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.896016
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.901809
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.908959
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.917474
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.927364
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31618
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18712
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4658
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.96879
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.01195
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.19479
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.58886
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.52282
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.919828
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.909391
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.900326
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.892628
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.886288
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.881299
Í (415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.877659
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.875362
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.874405
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.874789
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.876514
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.87958
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.883995
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.889756
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.896874
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.905353
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.915204
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40316
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.19234
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57706
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.95316
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.06586
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.20399
(415.85, 12.92, 329.65) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.58577
(415.85, 12.92, 329.65) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.64655
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.90934
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.898899
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.88983
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.882126
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.875777
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.870778
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.867124
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.864812
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.86384
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.864205
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.865909
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.868953
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.873341
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.879076
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.886165
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.894612
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.904429
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48844
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22858
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68579
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.78135
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.11866
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.21393
(415.85, 12.92, 329.65) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.28507
(415.85, 12.92, 329.65) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.34281
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.900187
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.889744
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.880671
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.872961
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.866604
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.861597
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.857932
Ñ (415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.855607
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.85462
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.854968
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.856655
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.859679
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.864045
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.869756
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.876818
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.885239
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.895027
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57173
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31273
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79176
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.7422
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.17029
(415.85, 12.92, 329.65) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.01747
(415.85, 12.92, 329.65) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 17.99698
(415.85, 12.92, 329.65) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.05185
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.892362
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.881917
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.872841
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.865125
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.858763
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.853747
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.850072
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.847737
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.846738
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.847073
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.848743
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.85175
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.856097
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.861788
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.868829
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.877227
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.886989
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66646
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39441
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.89484
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.70335
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.22074
(415.85, 12.92, 329.65) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.21547
(415.85, 12.92, 329.65) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.12759
(415.85, 12.92, 329.65) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.04407
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.885856
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.875409
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.866331
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.858612
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.852244
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.847221
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.84354
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.841195
 (415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.840185
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.840508
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.842166
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.845159
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.84949
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.855165
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.862188
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.870565
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.880307
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76203
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46028
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.99474
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.66481
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.07816
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.24852
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.12353
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.87321
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.853411
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.847041
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.842014
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.838326
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.835974
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.834956
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.835269
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.836916
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.839899
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.844218
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.334916
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85338
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44822
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03827
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.6266
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.82936
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.26159
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.19335
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.54407
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.834426
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.913667
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 7.439501
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94033
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43019
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0035
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.58867
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.583
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.27946
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.26352
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.83367
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0225
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4062
