¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ä(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.826612
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.608478
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.605693
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.604587
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.605158
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.655819
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.879739
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.12332
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.381318
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.663088
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.97233
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.313162
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.690621
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.109991
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.598996
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.791219
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.763995
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.738637
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.715121
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.693419
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.673513
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.655383
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.639008
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.624372
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.611463
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.600266
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.590771
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.582968
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.57685
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.572412
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.569646
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.568553
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.56913
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.646339
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.869453
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.112135
É(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.367065
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.64725
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.954914
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.29392
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.66927
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.086977
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.561374
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.756128
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.729021
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.703773
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.680358
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.658752
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.638934
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.620882
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.604581
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.590012
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.577162
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.566017
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.556567
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.548802
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.542717
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.538303
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.535558
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.534475
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.535058
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.636919
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.859216
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.100959
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.355592
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.631531
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.937648
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.274895
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.648124
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.063435
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.524114
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.723017
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.69602
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.670876
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.647556
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.62604
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.606303
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.588326
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.572094
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.557588
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.544793
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.533698
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.524292
(333.33, 7.49, 371.44) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.516563
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.510509
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.506118
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.503388
Ä(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.50232
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.502906
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.627526
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.84902
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.089873
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.344177
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.615953
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.920555
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.256021
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.627201
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.040049
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.487192
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.691848
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.664955
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.639907
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.616678
(333.33, 7.49, 371.44) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.595245
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.575587
(333.33, 7.49, 371.44) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.557684
(333.33, 7.49, 371.44) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.541515
(333.33, 7.49, 371.44) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.527067
(333.33, 7.49, 371.44) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.514324
(333.33, 7.49, 371.44) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.503275
(333.33, 7.49, 371.44) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.493909
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.486216
(333.33, 7.49, 371.44) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.480188
(333.33, 7.49, 371.44) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.475821
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.473108
(333.33, 7.49, 371.44) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.472049
(333.33, 7.49, 371.44) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.472641
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.618212
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.838861
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.078841
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.33296
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.601303
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.903595
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.237257
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.606431
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.016895
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.460648
(333.33, 7.49, 371.44) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.662591
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.635794
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.610837
(333.33, 7.49, 371.44) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.587694
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.56634
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.546753
