¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
†(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.08859
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.365756
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.755386
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.190928
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.679057
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.232087
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.860926
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.58518
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.42638
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.40084
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.52369
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.80532
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.20797
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.92108
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.11566
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.8914
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.411183
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.700467
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.018527
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.367772
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.757632
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.193203
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.681621
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.234554
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.863751
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.58787
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.4289
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.40381
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.52795
¿(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.81102
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.15147
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.93173
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.12894
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.90838
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.412051
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.701421
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.019578
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.369606
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.759675
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.195252
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.683928
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.236736
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.866248
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.59019
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.43097
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.42191
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.42639
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.68723
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.16006
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.94219
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.14203
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.82268
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.412784
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.702226
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.020463
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.371259
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.761517
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.197074
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.746031
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.476691
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55906
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32742
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22656
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.24613
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.42964
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.69425
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.16849
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.95253
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.15489
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.60042
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.413381
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.702882
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.021187
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.409881
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.301874
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.767267
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.289804
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.884058
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56848
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32808
ú(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22737
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25163
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.4255
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.7012
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.17684
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.96267
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.16759
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.5686
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.413842
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.754145
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.509303
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.885043
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.302021
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.767403
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.289994
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.889585
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57761
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33747
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.2277
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25672
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.42097
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70802
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.18504
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.97271
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.1801
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.47528
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.859598
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.169058
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.50924
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.884979
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.301974
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.767352
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.290776
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.894749
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58489
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34764
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22933
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2604
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41602
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.71477
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.1931
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.98253
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.19238
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.34953
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.859398
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.168835
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.509002
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.884706
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.30168
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.767025
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.29501
‡(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.899534
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5904
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35744
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24075
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25593
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41071
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.72133
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.20102
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.99222
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.20446
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.22591
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.859089
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.168473
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.508624
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.884261
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.301186
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.766474
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.298923
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.903998
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59549
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36692
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25184
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25744
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40494
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.72782
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.20879
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.00172
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.21632
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.29909
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.858611
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.167931
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.508028
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.883618
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.300446
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.768297
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.302491
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.908073
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6002
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37604
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26248
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2657
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.39882
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.73417
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.21642
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.01104
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.22797
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.37619
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.857979
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.167236
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.507272
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.882773
…(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.299541
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.771166
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.305779
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.911814
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6045
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38485
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26692
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2737
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40685
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.74043
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.2239
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.02021
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.23942
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.52081
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.857197
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.166394
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.506337
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.881735
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.298562
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.773811
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.308731
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.915191
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60838
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39324
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26915
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.27853
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41599
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.74658
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.23126
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.02921
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.25066
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.68791
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.856259
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.165391
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.505241
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.880517
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.300659
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.776159
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.311397
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.918196
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61187
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40131
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27102
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28069
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.42476
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.75137
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.23847
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.03799
(335.60, 7.49, 351.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.26164
