¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
â(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.455907
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.363517
(434.26, 14.61, 319.29) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 9.728983
(434.26, 14.61, 319.29) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 9.756333
(434.26, 14.61, 319.29) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 9.78575
(434.26, 14.61, 319.29) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 9.817266
(434.26, 14.61, 319.29) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 9.850909
(434.26, 14.61, 319.29) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 9.886721
(434.26, 14.61, 319.29) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 9.924734
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.28014
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.53473
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.72017
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.3077
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.29861
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.29329
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.29174
æ(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.29395
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.29992
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.30967
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.32318
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.3405
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.464276
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.722904
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.004502
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.312208
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.649777
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.01968
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.425488
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.876411
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.369478
(434.26, 14.61, 319.29) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 9.677209
(434.26, 14.61, 319.29) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 9.643013
(434.26, 14.61, 319.29) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 9.610924
(434.26, 14.61, 319.29) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 9.611107
(434.26, 14.61, 319.29) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 9.64285
(434.26, 14.61, 319.29) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 9.676696
(434.26, 14.61, 319.29) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 9.712681
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.36756
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.56708
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.65661
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.6438
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.63464
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.62912
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.62724
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.62898
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.63436
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.64338
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.65605
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.67237
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.468442
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.727427
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.009455
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.317656
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.655424
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.02284
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.429007
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.880296
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 9.16748
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 9.176878
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 9.18809
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 9.201125
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 9.215995
(434.26, 14.61, 319.29) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 9.636453
(434.26, 14.61, 319.29) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 9.61023
(434.26, 14.61, 319.29) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 9.586016
(434.26, 14.61, 319.29) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 15.11376
(434.26, 14.61, 319.29) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 15.13015
ë(434.26, 14.61, 319.29) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 15.14952
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.02743
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.01822
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.01254
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.01037
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.01171
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.01656
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.02493
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.03683
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.05227
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.472627
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.732004
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.014424
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.32309
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.658298
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.026007
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.432531
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.884238
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 9.049443
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 9.058219
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 9.068781
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 9.081141
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 9.095309
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 9.1113
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 9.129133
(434.26, 14.61, 319.29) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 15.16216
(434.26, 14.61, 319.29) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 15.1758
(434.26, 14.61, 319.29) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 15.19242
(434.26, 14.61, 319.29) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 15.21206
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.45378
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.44456
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.43874
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.43633
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.43731
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.4417
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.44949
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.4607
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.47532
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.476827
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.736546
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.019398
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.326842
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.661231
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.029199
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.436094
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.888201
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.936009
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.944197
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.954149
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.965872
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.979379
ó(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.994681
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 9.011796
(434.26, 14.61, 319.29) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 15.22738
(434.26, 14.61, 319.29) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 15.24126
(434.26, 14.61, 319.29) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 15.25814
(434.26, 14.61, 319.29) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 15.27803
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.91871
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.90948
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.90356
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.90094
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.90162
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.90558
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.91285
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.92343
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.93732
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.481035
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.741094
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.024383
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.330695
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.664131
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.032457
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.439644
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.821061
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.826966
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.834603
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.843978
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.8551
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.867982
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.882636
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.899076
(434.26, 14.61, 319.29) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 15.29608
(434.26, 14.61, 319.29) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 15.31021
(434.26, 14.61, 319.29) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 15.32735
(434.26, 14.61, 319.29) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 15.34753
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.41856
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.40935
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.40335
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.40055
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.40095
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.40454
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.41134
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.42134
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.43456
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.485228
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.745689
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.029341
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.337255
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.667294
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.035691
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.443236
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.716713
ó(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.722119
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.729235
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.738067
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.748623
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.760915
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.774955
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.845525
(434.26, 14.61, 319.29) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 15.36832
(434.26, 14.61, 319.29) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 15.38272
(434.26, 14.61, 319.29) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 15.40015
(434.26, 14.61, 319.29) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 15.42063
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.95014
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.94096
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.9349
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.93195
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.9321
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.93536
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.94173
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.95121
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.96383
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.489421
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.750245
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.034314
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.343893
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.674567
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.038932
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.446861
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.616345
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.621282
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.627906
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.636226
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.646249
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.657984
(434.26, 14.61, 319.29) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 8.671444
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.25785
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.57772
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.55635
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.53805
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.52282
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.51064
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.50151
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.4954
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.49231
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.49225
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.4952
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.50119
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.51019
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.52224
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.493628
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.754803
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.039319
