°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ô(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.847512
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.94249
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.255492
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.599602
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.44792
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.862736
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.073647
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.248573
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.432233
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.625252
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.828298
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04207
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23575
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40144
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57466
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7827
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07232
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3802
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70804
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05772
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39742
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.659042
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.945138
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.258399
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.602805
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.452481
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.867802
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.066428
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.240991
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.424323
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.617009
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.819674
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02215
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17882
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34252
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51365
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69839
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98327
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28601
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60823
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95179
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25013
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51041
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.661386
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.947699
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.26121
Ï(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.605902
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.45704
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.872795
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.060227
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.234547
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.417603
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.609962
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.812287
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.969184
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12404
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28583
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45497
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63183
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89723
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19502
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51183
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8495
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10841
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36246
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.663648
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.950171
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.263924
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.608893
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.461593
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.877866
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.055068
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.229187
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.412002
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.604138
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.771555
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.918241
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07136
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23132
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39848
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57332
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8141
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10715
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41883
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73589
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97196
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22017
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48135
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.665828
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.952556
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.266541
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.611779
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.466125
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.882843
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.050975
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.224903
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.407545
Ì(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.585099
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.724139
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.869249
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02072
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17891
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34424
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51716
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73378
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02229
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32902
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60979
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84063
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0832
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33845
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.667928
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.95485
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.26906
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.614555
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.470663
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.882235
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.047916
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.221747
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.404199
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.540954
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.678552
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.822175
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.972066
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12863
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29219
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46321
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65619
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94033
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24233
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48829
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71414
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95142
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20094
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46359
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.669943
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.957055
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.271478
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.617221
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.475154
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.88032
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.04592
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.219631
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.367909
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.498571
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.634818
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.776966
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.925364
Ì(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08032
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24224
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41149
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58851
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86125
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15871
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37126
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59235
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82457
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06866
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32553
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.671878
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.959171
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.2738
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.619781
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.47963
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.879398
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.044949
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.204315
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.328461
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.457898
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.592882
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.733672
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.880618
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03405
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19435
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36188
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53714
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78493
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05206
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25845
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47505
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70239
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94136
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.19273
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45732
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.672812
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.960348
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.27526
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.621577
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.484096
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.879498
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.045039
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.167623
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.290695
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.418937
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.552658
(341.85, 6.99, 372.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.69215
