¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
œ(349.88, 8.84, 313.91) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 23.42597
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.504083
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.853157
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.248526
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.668118
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.133398
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.653461
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19768
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80368
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43545
‹(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16527
(349.88, 8.84, 313.91) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 21.51496
(349.88, 8.84, 313.91) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 23.41254
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.529628
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.883236
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.281891
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.706218
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.175907
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.701155
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27834
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89459
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53333
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3618
(349.88, 8.84, 313.91) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 20.5317
(349.88, 8.84, 313.91) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 22.54008
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.555138
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.913274
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.315228
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.74439
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.21851
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.753578
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35119
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98687
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63319
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56408
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.58065
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.943283
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.348507
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.782649
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.261236
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.808763
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4154
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08048
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78319
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77219
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.606105
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.973207
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.381699
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.821009
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.304046
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.864023
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4801
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15763
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96473
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98646
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.631496
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.003068
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.414871
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.859388
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.346954
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.919409
…(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54526
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23176
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15109
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20708
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.657998
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.032841
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.447963
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.897818
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.389935
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.974873
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61086
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30649
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25556
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.31469
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.684859
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.06251
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.480947
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.936258
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.432966
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03038
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67692
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38179
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35569
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.39818
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.711609
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.092113
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.513849
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.974767
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.476078
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08592
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7434
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45767
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45583
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.48156
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.738235
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.121593
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.546627
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.013287
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.521784
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14146
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81029
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5439
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.556
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.55392
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.764731
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.150943
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.579304
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.051799
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.570527
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19699
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87756
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63154
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65606
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.56825
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.791109
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.180146
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.611814
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.090272
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.619197
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25247
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94527
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71972
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.756
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.62225
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.817325
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.209223
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.644205
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.128766
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.667807
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30793
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0133
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80843
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85577
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.52442
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.2406
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.8434
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.238102
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.676412
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.165862
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.716251
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36332
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08172
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89763
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95526
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.42715
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.10854
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.874851
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.268798
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.708484
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.201794
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.764671
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41857
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1505
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9873
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05443
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.38637
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.62835
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.30785
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.907283
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.30479
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.746145
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.238974
ƒ(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.81286
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47371
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21957
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07741
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15314
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48865
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.38972
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.3712
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.939701
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.340691
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.786197
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.28386
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.867401
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52906
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.289
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16795
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.24911
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59066
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.35099
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.92734
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.34869
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.972008
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.376549
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.826159
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.328717
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.926379
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59655
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36955
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25887
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.33263
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69236
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.24001
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.68221
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.61982
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.89521
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.004219
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.412326
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.866087
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.374968
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.98547
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66416
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45331
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35801
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4157
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79361
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.12987
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.44494
