¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
–(399.02, 12.63, 328.90) (365.88, 3.76, 320.48) (0.81, 2.16, 0.81) Human 18.29752
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 21.43625
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.2887
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.078594
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.549479
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.0853
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.62195
•(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.20848
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.85147
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.5188
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.2593
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.99513
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.86982
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.71842
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.63217
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.62633
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 18.70834
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 19.94587
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 21.41806
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.25748
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.087425
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.560845
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.09804
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.63156
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.21885
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.85963
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.52794
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.2634
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.99965
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.88071
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.73063
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.63994
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.62849
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 18.71123
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 19.94195
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 21.40452
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.22719
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.095832
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.571696
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.1102
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.64084
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.22885
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.8676
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.53687
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.26752
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.00426
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.89195
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.74198
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.64832
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.63145
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 18.71457
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 19.94159
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 21.39201
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.19783
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.10381
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.58203
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.12056
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.64978
–(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.23849
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.87538
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.54559
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.27173
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.00897
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.90353
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.75098
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.65729
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.6352
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 18.71881
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 19.94776
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 21.38054
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.1694
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.111356
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.591837
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.12829
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.65838
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.24775
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.88297
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.5531
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.27603
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.01377
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.91548
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.76047
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.66687
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.63976
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 18.72396
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 19.95431
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 21.37305
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.14189
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.118463
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.601119
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.1357
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.66662
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.25663
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.89037
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.55986
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.28041
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.03084
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.92778
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.77044
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.67705
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.64513
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 18.73002
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 19.9612
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 21.37301
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.11532
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.12513
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.609861
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.14279
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.67452
™(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.26513
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.89756
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.56644
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.28487
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.05228
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.94043
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.7809
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.68783
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.65129
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 18.73698
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 19.96913
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 21.37831
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.0919
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.131353
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.618068
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.14957
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.68206
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.27324
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.90455
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.57284
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.28942
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.07337
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.95343
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.79183
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.69887
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.65826
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 18.74485
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 19.97809
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 21.38948
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.07371
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.137806
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.62573
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15603
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.68924
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.28097
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.91135
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.57907
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.29405
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.09409
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.96678
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.80324
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.70555
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.66603
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 18.75363
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 19.98808
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 21.40096
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.05662
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.144183
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.632842
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.16216
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.69584
”(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.28831
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.91794
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.58512
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.29876
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.11443
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.98048
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.81514
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.71296
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.6746
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 18.76332
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 19.99911
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 21.41363
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.05095
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.150065
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.6394
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.16796
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.70204
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.29525
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.92432
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.59098
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.30355
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.13438
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.99452
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.82752
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.72111
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.68398
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 18.77391
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 20.01117
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 21.42749
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.06441
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.155449
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.645409
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.17344
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.7079
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.3018
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.93049
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.59666
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.30843
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.15394
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.00892
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.84037
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.73
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.69416
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 18.78542
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 20.02427
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 21.44254
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.08161
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.160334
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.650855
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.17858
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.71339
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.30794
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.93645
