¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ê (417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.440402
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31164
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 10.15325
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83981
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45732
± (417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.70951
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 10.20095
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.855704
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.849092
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.667913
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.66409
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.837309
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.836053
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.33854
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.47632
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.46732
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.46691
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.47499
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 13.0621
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 13.08393
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.586501
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.885897
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.741944
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.827697
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.917041
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.435288
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.94295
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.517628
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27839
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10816
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83477
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4517
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.82573
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 10.46426
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.889748
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 10.45298
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.775399
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.77163
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.2825
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.26702
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.25378
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.39054
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.38161
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.38064
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.38857
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.570775
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.86863
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.810196
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.898026
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.960103
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.408916
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.913216
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.483829
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22714
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07264
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83025
¾ (417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44671
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.5174
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 10.74364
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 10.73726
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 10.73298
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 10.9553
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.21852
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.20093
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.18558
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.17245
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.32299
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.31412
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.84447
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 12.82809
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.555011
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.843505
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.880698
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.970701
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.923463
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.382493
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.883396
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.449965
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17571
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03673
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82633
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44235
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.4369
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.23251
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.03447
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.03058
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.02884
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.14015
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.1227
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.10746
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.09442
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.24392
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.23513
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.95189
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 13.18926
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.534634
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.804504
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.099091
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.421791
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.837667
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.35601
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.853539
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.416056
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12408
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99222
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82292
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43856
À (417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.35972
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.15672
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.13039
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.10635
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.08456
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.06501
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.04769
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.03256
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.01962
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.16811
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.15939
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 13.32276
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 13.31755
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.499239
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.765913
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.056902
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.375482
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.753122
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.312572
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.823648
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.382086
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0723
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93103
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82008
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43359
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11065
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.0841
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.05795
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.03406
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.01243
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 10.99301
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 10.97581
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 10.96078
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 10.94794
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.09547
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.08681
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 13.06198
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 13.23095
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.464151
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.72773
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.015146
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.329709
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.675354
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.21645
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.793643
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.348072
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02038
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86968
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81777
