¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Å(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.873703
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.131429
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.440589
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.785141
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.160884
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.997954
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00888
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03389
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15693
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.47889
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.8256
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.4147
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.17408
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.14206
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.11312
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.08722
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.69747
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.40035
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.23957
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.25605
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.34531
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.43865
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.53403
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.43175
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.131096
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.456141
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.802072
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.179377
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.12271
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05828
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.08629
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.21835
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.54713
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.93015
Ğ(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.50433
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.2074
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.17532
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.14633
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.1204
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.52847
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.3662
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.21387
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.19836
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.28686
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.37943
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.47146
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.56519
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.131067
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.471784
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.819102
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.202563
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.24788
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.10853
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13803
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.27896
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.6013
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.03496
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.59379
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.24381
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.21168
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.18264
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.15666
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.50139
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.34073
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.19301
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.14389
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.2317
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.32342
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.41231
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.50528
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.0887
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.13134
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.487514
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.836231
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.281699
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.33908
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15794
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18888
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.33863
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.65467
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.09888
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.68297
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.28337
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.25118
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.22209
Û(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.19606
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.47768
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.32276
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.17535
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.09261
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.17975
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.26831
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.35651
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.44877
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.54519
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.131916
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.503329
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.853455
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.381714
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.43746
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20655
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.23903
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.39736
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.70724
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.16118
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.57028
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.04118
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.00668
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.97556
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.62472
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.4611
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.30802
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.16087
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.04445
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.13097
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.21645
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.30401
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.3956
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.49133
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.76897
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.132795
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.519225
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.870774
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.481509
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.53538
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25437
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.28824
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.45522
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.75894
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.53856
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.49321
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.82863
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.9592
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.78117
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.6084
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.44937
Í(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.29651
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.14956
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.0083
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.08476
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.1678
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.25476
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.34572
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.4408
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.54012
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.158359
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.535205
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.888183
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.580971
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.63275
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.51688
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3366
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.512
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.80969
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.58621
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.13511
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.10029
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.11891
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.76686
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.59979
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.44092
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.2882
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.14139
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.00028
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.0398
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.1223
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.21309
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.32626
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.44416
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.56695
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.188688
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.551261
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.90568
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.68
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.72945
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.55578
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.38406
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.56775
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.47542
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.428
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.18665
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.15174
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.11994
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.76688
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.12923
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.15855
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.29892
Ü(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.15487
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.0164
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.03296
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.1376
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.24669
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.36038
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.47883
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.60217
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.218372
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.567393
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.923261
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.778482
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.82539
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.59348
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.43054
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.58098
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.51308
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.46385
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.2415
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.2065
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.17461
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.85522
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.69142
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.53397
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.38261
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.12452
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.09727
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.0685
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.17367
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.28332
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.39759
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.51663
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.64059
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.247382
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.583598
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.940925
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.876294
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.91837
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.62994
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.4761
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.63901
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.56961
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.5158
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.29972
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.26462
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.23264
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.18738
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.78248
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.62339
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.47046
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.32345
