¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
— (403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.319571
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.425753
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.413895
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.40315
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.393499
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.384947
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.377469
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.371072
› (403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.365743
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.36215
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.371629
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.400014
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.454234
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.56355
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.830059
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.711526
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.659076
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.632745
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.610545
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.589607
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.569935
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.551493
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.534258
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.518213
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.503354
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.489651
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.477101
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.465685
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.455396
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.446215
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.438141
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.43117
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.425271
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.420463
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.417218
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.428824
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.464559
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.540636
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.623793
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.842338
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.7487
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.714758
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.693312
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.673183
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.654316
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.636714
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.620366
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.605235
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.591315
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.57859
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.567064
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.556705
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.547505
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.539457
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.532577
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.526836
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.522243
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.518789
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.516675
Ó(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.535616
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.607368
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.55051
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.5474
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.54907
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.55553
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.56679
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.616672
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.878181
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.162621
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.473181
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.813475
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.187875
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.60177
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.061567
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.524347
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.952872
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42388
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13824
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20539
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65944
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15125
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.30152
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.72002
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.63209
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.6373
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.64743
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.61012
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.93177
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.63038
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.62822
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.64633
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.75446
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 14.07333
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.63731
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.609546
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.87046
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.154231
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.46398
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.803363
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.176774
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.589455
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.047831
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.519231
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.947258
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42884
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1681
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13783
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58661
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07247
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24912
à(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.43179
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.57686
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.57605
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.54584
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.5399
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.62276
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.59939
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.60149
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.60624
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.61366
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.62717
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.64663
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.602464
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.862777
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.145863
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.454829
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.793341
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.165697
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.577181
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.034162
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.514586
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.942164
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45489
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19805
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07224
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51593
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99607
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24731
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.15345
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.18186
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.5572
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.76827
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.53514
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 14.03035
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.59007
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.59216
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.59691
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.60478
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.6187
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.63674
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.595445
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.855084
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.137543
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.445717
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.783323
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.154674
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.56497
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.020567
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.510374
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.937567
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4811
á(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22819
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00856
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44728
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92192
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.43061
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.88455
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.87024
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.53815
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.74987
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.52722
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 14.02893
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.5834
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.58549
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.59019
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.59984
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.61375
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.63044
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.588391
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.847502
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.129229
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.436646
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.773368
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.143654
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.5528
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.007077
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.506665
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.933475
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50738
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25844
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94674
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38073
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88406
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.6095
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.62468
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.56931
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.52205
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.73242
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.52057
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 14.03069
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.57939
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.58142
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.58632
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.59755
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.61146
(403.71, 13.94, 248.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.62805
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.581426
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.839895
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.120947
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.427613
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.763468
(403.71, 13.94, 248.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.132757
