¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ß(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.122957
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13271
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80445
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51759
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20881
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.82655
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75101
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.57998
(429.57, 14.75, 251.45) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 17.25821
(429.57, 14.75, 251.45) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 17.22647
(429.57, 14.75, 251.45) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 17.19819
(429.57, 14.75, 251.45) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 17.17334
(429.57, 14.75, 251.45) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 15.44813
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.751477
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.131427
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.552288
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.020947
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.545923
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13788
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81034
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52821
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26084
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90176
ß(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.86749
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.93723
(429.57, 14.75, 251.45) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 17.19554
(429.57, 14.75, 251.45) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 17.16388
(429.57, 14.75, 251.45) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 17.13566
(429.57, 14.75, 251.45) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 17.11086
(429.57, 14.75, 251.45) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 15.44862
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.754138
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.134369
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.555557
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.024605
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.550055
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14254
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81567
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53866
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27271
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97826
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.98496
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.0631
(429.57, 14.75, 251.45) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 17.13663
(429.57, 14.75, 251.45) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 17.10503
(429.57, 14.75, 251.45) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 17.07688
(429.57, 14.75, 251.45) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 17.05213
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.75647
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.136999
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.558488
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.02788
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.553731
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14671
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82042
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54893
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28435
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05609
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1034
(429.57, 14.75, 251.45) (410.45, 7.73, 233.40) (1.88, 1.40, 1.43) Tools 15.57791
(429.57, 14.75, 251.45) (410.45, 7.73, 233.40) (1.88, 1.40, 1.43) Tools 15.74483
(429.57, 14.75, 251.45) (410.45, 7.73, 233.40) (1.88, 1.40, 1.43) Tools 16.0952
(429.57, 14.75, 251.45) (410.45, 7.73, 233.40) (1.88, 1.40, 1.43) Tools 16.46481
(429.57, 14.75, 251.45) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 16.99708
(429.57, 14.75, 251.45) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 15.44396
(429.57, 14.75, 251.45) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 15.43235
(429.57, 14.75, 251.45) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 15.42377
(429.57, 14.75, 251.45) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 15.4182
(429.57, 14.75, 251.45) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 15.71337
(429.57, 14.75, 251.45) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 16.18682
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.754519
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.139314
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.561048
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.030751
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.556959
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15037
ë(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8246
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55898
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29577
(429.57, 14.75, 251.45) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 12.9637
(429.57, 14.75, 251.45) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 12.93351
(429.57, 14.75, 251.45) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 12.90597
(429.57, 14.75, 251.45) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 12.88105
(429.57, 14.75, 251.45) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 12.85873
(429.57, 14.75, 251.45) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 12.83899
(429.57, 14.75, 251.45) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 12.82775
(429.57, 14.75, 251.45) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 15.03566
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.752213
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.141306
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.563278
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.033228
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.559736
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15351
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8282
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56888
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.30699
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14847
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18361
(429.57, 14.75, 251.45) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 15.22716
(429.57, 14.75, 251.45) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 15.08527
(429.57, 14.75, 251.45) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.94888
(429.57, 14.75, 251.45) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.8178
(429.57, 14.75, 251.45) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.69184
(429.57, 14.75, 251.45) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.95072
(429.57, 14.75, 251.45) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 15.54625
(429.57, 14.75, 251.45) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 15.53459
(429.57, 14.75, 251.45) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 15.52596
(429.57, 14.75, 251.45) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 15.52037
(429.57, 14.75, 251.45) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 15.5178
(429.57, 14.75, 251.45) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 15.51826
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.749584
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.13972
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.565126
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.035316
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.562068
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15617
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83122
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57853
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31798
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20069
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18374
(429.57, 14.75, 251.45) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.32819
(429.57, 14.75, 251.45) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.30054
(429.57, 14.75, 251.45) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.27578
(429.57, 14.75, 251.45) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.25388
(429.57, 14.75, 251.45) (408.85, 7.58, 231.71) (2.09, 1.13, 2.18) Tools 17.08175
(429.57, 14.75, 251.45) (408.85, 7.58, 231.71) (2.09, 1.13, 2.18) Tools 18.61543
Ó(429.57, 14.75, 251.45) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 16.26835
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.746632
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.136457
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.566635
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.036991
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.563978
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15831
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83367
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58802
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34998
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25722
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18326
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.4287
(429.57, 14.75, 251.45) (408.85, 7.58, 231.71) (2.09, 1.13, 2.18) Tools 17.13603
(429.57, 14.75, 251.45) (408.85, 7.58, 231.71) (2.09, 1.13, 2.18) Tools 17.13362
(429.57, 14.75, 251.45) (408.85, 7.58, 231.71) (2.09, 1.13, 2.18) Tools 17.13454
(429.57, 14.75, 251.45) (408.85, 7.58, 231.71) (2.09, 1.13, 2.18) Tools 17.13881
(429.57, 14.75, 251.45) (408.85, 7.58, 231.71) (2.09, 1.13, 2.18) Tools 18.50931
(429.57, 14.75, 251.45) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 16.15263
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.743352
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.132807
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.56528
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.03828
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.565415
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15994
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83554
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60373
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39886
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31375
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.22999
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.4274
(429.57, 14.75, 251.45) (408.85, 7.58, 231.71) (2.09, 1.13, 2.18) Tools 18.00952
(429.57, 14.75, 251.45) (408.85, 7.58, 231.71) (2.09, 1.13, 2.18) Tools 18.00911
(429.57, 14.75, 251.45) (408.85, 7.58, 231.71) (2.09, 1.13, 2.18) Tools 18.01222
(429.57, 14.75, 251.45) (408.85, 7.58, 231.71) (2.09, 1.13, 2.18) Tools 18.01884
(429.57, 14.75, 251.45) (408.85, 7.58, 231.71) (2.09, 1.13, 2.18) Tools 18.36845
(429.57, 14.75, 251.45) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 16.03621
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.739743
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.128829
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.56083
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.039165
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.566401
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16108
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83684
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60477
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44767
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37023
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.29489
