¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ı(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.85163
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6048
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.15838
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.41091
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.23004
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.17179
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.26482
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.59926
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.16899
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.0647
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.48449
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.866159
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.107358
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.367631
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.649206
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.954782
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.287467
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.650958
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.04289
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.468101
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.937288
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4576
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02862
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63339
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3103
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.60406
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.2713
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.21706
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.32061
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.6702
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.25756
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.17586
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.64356
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.879755
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.122019
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.383408
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.666292
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.97336
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.307721
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.67309
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.064877
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.49229
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.964033
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4873
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05545
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66279
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34327
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.01949
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.31176
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.26395
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.38221
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.74355
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.3485
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.29008
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.79925
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.893516
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.13683
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.399439
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.683653
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.992196
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.328277
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.695583
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.087228
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.516893
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.99126
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51754
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08247
…(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6929
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37713
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14909
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.50934
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.31309
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.44561
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.81893
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.44184
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.40741
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.94034
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.905876
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.151864
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.415687
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.701256
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.011341
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.349119
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.717079
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.109984
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.541987
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.019
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54836
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11013
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72384
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41186
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18839
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.96133
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.36353
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.51055
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.89621
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.5286
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.52794
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.09328
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.918082
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.166043
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.432136
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.719117
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.030726
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.370297
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.738204
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.133165
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.567468
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04718
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57974
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13851
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7555
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44745
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22867
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11744
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.53406
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.57708
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.97543
Œ(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.62072
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.6529
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.26401
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.930415
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.17939
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.4484
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.737184
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.050398
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.391732
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.759704
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.156712
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.593427
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07592
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61116
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16756
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78796
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48393
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.26998
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1646
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.01981
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.6452
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.0566
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.72381
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.78364
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.45269
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.942906
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.192863
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.462993
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.755548
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.070361
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.413524
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.781557
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.180696
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.619852
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10515
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63795
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19731
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82118
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52128
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31231
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21293
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.27824
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.73844
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.13455
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.82955
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.91477
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.67598
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.955582
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.206559
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.477797
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.771812
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.090565
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.435596
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.803763
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.205066
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.646691
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13488
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66533
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22772
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85522
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55957
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.35567
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26249
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.34223
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.263
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.22208
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.93797
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.04818
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.90535
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.968412
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.220388
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.492779
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.788084
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.109262
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.45797
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.826329
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.229835
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.673988
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1651
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69331
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25885
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89003
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59873
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.40004
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.31324
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.40761
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.69774
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.31172
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.04913
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.18513
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.11403
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.981421
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.234392
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.507936
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.804543
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.127176
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.479158
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.849236
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.255009
(377.97, 16.06, 284.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.70174
