¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
É(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.11297
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.744338
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.37504
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.11217
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.94399
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.87339
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.850666
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.83947
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.849493
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.910068
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 10.11497
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 10.43687
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.477809
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.469992
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.464031
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.459922
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.457658
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.457239
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.458664
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.461934
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.467053
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.474026
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.482858
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.102248
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.441587
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.80716
À(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.223977
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.675734
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.190819
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.744346
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.37496
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.11102
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.94167
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.86954
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.821595
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.81196
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.82186
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.833698
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.913487
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 10.3021
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.449729
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.441918
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.435957
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.431842
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.429566
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.429131
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.430533
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.433776
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.438861
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.445795
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.454584
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.103612
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.442916
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.808107
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.225032
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.676122
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.19097
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.744016
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.37454
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.10951
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.93884
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.86531
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.794581
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.786423
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.796206
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.807926
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.828651
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 10.03943
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.423637
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.415832
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.409869
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.405748
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.403463
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.403013
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.404396
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.407612
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.412667
¬(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.419564
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.428312
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.10475
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.443881
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.808772
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.225773
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.676178
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.190873
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.743351
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.37378
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.10765
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.93552
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.8607
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.769599
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.762832
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.772511
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.78412
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.797668
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.83683
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.399508
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.391706
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.385745
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.381619
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.379326
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.37886
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.380223
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.383416
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.388443
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.395308
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.404017
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.10566
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.444646
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.809156
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.2262
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.675906
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.190526
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.742354
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.37268
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.10543
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.93169
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.85572
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.746622
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.741166
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.750749
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.762258
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.775699
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.79109
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.377316
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.369518
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.363558
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.359427
®(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.357125
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.356647
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.357992
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.361164
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.366164
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.372998
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.381674
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.106342
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.445217
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.809256
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.226315
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.675308
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.189929
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.741022
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.37124
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.10286
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.92737
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.85036
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.725627
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.721404
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.7309
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.742315
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.755662
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.770952
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.357039
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.349245
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.343285
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.33915
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.33684
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.33635
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.33768
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.340833
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.34581
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.352616
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.361259
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.106795
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.445588
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.809076
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.226112
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.674379
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.189078
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.739352
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.36946
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.09994
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.92255
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.84463
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.706595
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.703528
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.712944
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.724277
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.737537
²(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.752736
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.338657
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.330868
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.324906
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.320769
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.318452
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.317951
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.319267
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.322401
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.327357
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.334138
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.342752
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.107019
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.445763
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.808615
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.225597
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.673126
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.187982
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.737356
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.36734
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.09666
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.91723
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.83854
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.689506
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.68752
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.696866
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.708124
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.721307
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.736425
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.322152
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.314365
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.308405
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.304264
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.301941
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.30143
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.302733
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.305853
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.310789
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.317547
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.326136
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.107014
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.445739
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.80787
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.224769
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.672256
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.186634
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.735023
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.36489
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.09303
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.91143
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.83207
Ë(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.674341
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.673366
