¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
®(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.398879
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.806327
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.071479
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.364002
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.690681
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.054164
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.460945
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.919153
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.439076
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.734657
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44802
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30185
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31565
¼(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.45816
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.50216
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.73829
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.52607
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.47699
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.791574
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.966287
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.155264
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.360279
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.583408
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.827106
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.094292
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.388462
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.715987
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.082392
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.492629
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.95496
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.479859
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.787914
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5095
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38059
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40899
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56986
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.62683
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.91878
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.56004
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.55239
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.804714
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.981288
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.171509
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.377923
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.602638
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.848141
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.117394
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.413947
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.742097
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.110995
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.524747
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.991278
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.207978
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.842041
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57209
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46077
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50429
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68408
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.75498
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.19262
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.5966
(420.96, 8.57, 363.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.63156
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.136392
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.306255
„(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.488847
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.685609
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.899472
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.150312
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.424751
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.726155
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.058683
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.427351
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.797091
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.139649
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.515399
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.929353
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.387571
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01787
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78121
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72853
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13502
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.781
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2409
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.72773
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.25208
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.46686
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.62777
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.79512
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.9693
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.15052
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.13755
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.307508
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.490209
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.687091
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.899814
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.144281
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.418098
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.718875
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.050626
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.418374
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.79126
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.133272
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.508413
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.921647
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.379009
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00457
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77111
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70979
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11152
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78477
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24761
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.73705
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.26215
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.48117
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.64236
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.81004
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.98455
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.1661
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.138865
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.308953
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.49174
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.688726
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.9016
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.138356
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.411664
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.711754
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.042761
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.409687
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.785964
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.127466
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.502046
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.914639
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.371233
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.988559
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76167
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69148
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08852
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79071
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.25394
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.7489
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.27482
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.49844
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.66001
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.82808
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.00295
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.18491
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.140338
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.31053
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.49347
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.69057
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.903581
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.134404
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.405354
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.704845
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.035146
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.401168
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.781172
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.12226
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.496322
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.908358
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.364271
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.973088
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75289
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67351
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06597
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79877
‚(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26258
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.7616
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.29021
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.51872
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.6807
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.84922
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.02458
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.20705
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.141993
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.31227
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.495341
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.692595
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.905785
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.136761
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.399224
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.698082
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.027681
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.39293
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.776939
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.117619
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.491236
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.902735
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.35803
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.958182
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74478
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65594
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0439
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80901
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27351
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.77334
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.30825
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.54202
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70449
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.87355
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.04942
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.23248
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.14378
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.314202
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.497384
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.694807
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.908158
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.139358
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.393267
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.691523
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.02045
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.384881
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.773263
(420.13, 8.45, 363.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.113576
