¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ğ(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.05794
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.62831
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.833039
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.052238
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.287473
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.540431
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.813133
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.118814
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.514242
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.30859
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48457
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0033
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.03669
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.00782
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.98161
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.95802
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.93703
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.91863
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.90279
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.8895
Ø(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.87875
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.87052
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.86481
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.86161
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.86091
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.86273
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.86705
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.221372
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.426442
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.617386
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.821361
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.039762
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.274087
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.526015
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.797628
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.091223
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.483197
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.438395
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65003
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22126
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.94377
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.9151
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.88907
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.86565
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.84481
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.82653
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.8108
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.7976
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.78692
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.77875
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.77307
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.76989
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.7692
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.771
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.77528
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.223001
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.416508
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.606793
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.810095
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.027704
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.261158
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.512119
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.782672
(434.19, 13.98, 294.70) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 7.985343
(434.19, 13.98, 294.70) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 7.959306
(434.19, 13.98, 294.70) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 7.934981
(434.19, 13.98, 294.70) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 7.912342
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.42429
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.85465
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.82617
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.80032
Ú(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.77705
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.75635
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.7382
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.72257
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.70946
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.69885
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.69073
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.68509
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.68192
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.68123
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.68301
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.68727
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.22456
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.406938
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.596605
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.799222
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.016071
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.24866
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.49872
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.768228
(434.19, 13.98, 294.70) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 7.780522
(434.19, 13.98, 294.70) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 7.755152
(434.19, 13.98, 294.70) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 7.731448
(434.19, 13.98, 294.70) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 7.709389
(434.19, 13.98, 294.70) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.179155
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.76922
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.74093
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.71524
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.69213
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.67156
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.65352
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.638
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.62497
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.61442
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.60635
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.60075
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.5976
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.59691
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.59868
(434.19, 13.98, 294.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.6029
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.987235
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.219736
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.472311
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.747683
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.048912
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.379826
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.744925
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.149686
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.600901
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.106818
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.678019
¸(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34427
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13036
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98304
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03287
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.66461
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.7261
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.983547
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.215722
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.467967
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.742942
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.043725
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.374116
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.738604
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.142656
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.593021
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.097966
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.668024
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33313
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1174
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.86688
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.82754
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.46882
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.50436
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.979893
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.211763
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.463664
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.738237
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.038578
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.368426
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.732347
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.13571
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.585258
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.089242
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.658092
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32197
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10447
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77469
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6709
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6754
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.28949
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.976274
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.207852
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.459407
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.733575
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.033476
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.362815
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.726152
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.128791
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.577522
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.080562
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.648282
º(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31082
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09158
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68479
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51826
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.46843
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.13149
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.972715
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.203991
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.455194
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.728951
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.028414
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.357278
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.719988
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.121981
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.569928
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.071999
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.638589
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29978
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07853
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59724
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36953
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.26915
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.03035
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.969188
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.200151
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.451022
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.724395
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.02342
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.351762
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.713913
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.115225
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.562387
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.063529
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.628986
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28873
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00084
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5119
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22457
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07727
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56919
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.78856
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.965666
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.196331
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.446859
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.719875
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.018492
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.346319
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.707897
(434.20, 13.99, 293.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.108544
