¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ë (430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.30807
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.63713
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.41147
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.38078
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.35452
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.33268
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.86946
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.82238
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.77994
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.74207
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.50407
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.15877
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.13286
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.11171
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.53547
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.92524
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.825954
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5861
¹ (430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48384
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56087
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71168
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.06275
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.34741
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.09343
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.55265
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.48769
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.27591
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.2452
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.21891
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.197
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.91917
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.38627
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.34464
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.30749
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 23.30186
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.35059
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.32662
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 23.95316
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.75909
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.785957
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56464
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45644
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52101
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68224
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98708
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.25345
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.9221
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.34695
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.3697
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.14618
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.11546
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.08913
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.06716
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.55123
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.97073
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.92986
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.89341
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.53629
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 23.25724
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.34224
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 23.46631
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.763343
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54151
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43339
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47898
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6508
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.92844
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.15888
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.72844
Õ (430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.14048
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.24458
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.02214
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.99141
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.96504
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.94301
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.41236
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.84003
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.8661
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.8965
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.57277
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.96282
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.93926
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 23.7274
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.742108
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5166
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4085
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4347
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61744
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.83083
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.06373
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.53487
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.8737
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.12505
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.90363
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.87289
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.84649
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.8244
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.37358
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.02364
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.05049
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.08172
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.11735
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.79828
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.84821
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.10581
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.719436
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49007
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38186
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39912
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58215
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.73265
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.96804
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.35807
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.60216
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.31977
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.38896
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.35453
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.43233
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.71121
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.48908
Ê (430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.21652
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.25055
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.28903
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.33201
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.86011
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.82989
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.78348
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.69538
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4619
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35342
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36523
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53865
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.634
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.87189
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.24414
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.31382
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.71761
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.78036
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.11732
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.2032
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.77789
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.97032
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.46852
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.5038
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.5436
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.58795
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.13362
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.0782
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.05724
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.669889
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43209
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32325
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32925
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.45752
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.53495
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.77535
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.1298
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.02338
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.38475
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.42045
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.72341
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.69672
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.67432
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.72696
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.74795
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.79309
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.84289
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.89737
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.41878
