¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ş (381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.950158
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.592015
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.866387
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.158552
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.438499
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.784271
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.18683
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.647427
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.19493
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.457385
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.95576
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.839247
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.792337
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.775203
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.760716
ı (381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.748355
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.738113
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.72996
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.723908
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.719946
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.976547
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.106794
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.246718
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.397401
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.560092
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.736243
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.927549
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.136003
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.368788
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.62019
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.8975
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.185844
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.470108
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.817779
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.224526
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.68448
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.236388
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.527124
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.998543
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.865286
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.814863
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.793951
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.775482
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.759259
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.745196
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.733262
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.723476
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.715808
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.990056
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.121276
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.26228
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.414166
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.578201
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.755862
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.948871
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.163713
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.394895
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.6489
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.929217
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.213882
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.502478
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.852035
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.263092
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.728217
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.278822
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.598438
ï (381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46073
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.954816
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.887821
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.86053
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.836133
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.814345
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.795081
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.778263
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.763821
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.751657
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.003777
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.13599
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.278095
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.431207
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.596615
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.775817
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.970568
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.187978
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.421479
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.67815
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.961549
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.242676
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.53562
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.88705
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.302536
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.772985
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.322249
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.671379
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52524
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52664
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 9.108793
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 9.039227
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.991165
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.951814
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.918538
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.89007
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.865606
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.844688
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.017711
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.150934
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.294162
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.448526
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.615335
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.796112
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.995545
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.212674
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.448548
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.707947
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.994506
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.272241
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.569548
î (381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.922838
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.342875
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.8188
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.366684
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.745997
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59138
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59652
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01386
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.50393
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.46581
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.031856
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.166111
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.310485
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.466125
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.634364
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.81675
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.020314
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.237803
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.476105
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.738297
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.028093
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.302584
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.604272
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.959407
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.384126
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.865684
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.060469
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.822264
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65923
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70773
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11454
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.52439
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.48905
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.046216
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.181521
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.327063
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.484005
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.653703
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.837731
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.043711
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.263371
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.504157
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.769208
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.062319
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.333723
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.639806
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.996772
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.426298
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.913655
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.124191
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.885793
İ (381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73246
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82192
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.218
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.54704
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.51483
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.060789
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.197165
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.343896
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.502168
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.673355
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.864398
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.067502
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.289381
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.532708
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.800685
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.097195
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.365667
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.676163
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.03494
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.469411
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.962731
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.189445
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.946212
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83507
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93906
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.32436
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.57187
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.59182
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.075578
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.213045
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.36099
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.520616
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.693322
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.886597
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.091692
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.315839
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.561763
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.832739
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.132728
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.398432
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.713358
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.07393
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.513479
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.012938
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.256278
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00883
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94042
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05928
