¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
õ(431.14, 12.19, 342.38) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 18.52477
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.4816
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.54663
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.83822
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.43347
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.50756
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.24179
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.82856
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.45704
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.51898
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.80401
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.38831
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.4514
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.17159
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.73096
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.43055
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.48886
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.76674
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.33927
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.38988
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.09435
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.62426
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.40215
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.45642
Ÿ(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.72645
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.28641
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.32311
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.01024
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.50871
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.37187
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.42151
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.68322
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.22984
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.25124
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.91944
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.38458
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.33976
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.38417
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.6371
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.16979
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.17436
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.82217
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.2499
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.30583
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.34444
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.58814
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.1067
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.09251
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.71861
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.10696
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.27014
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.30238
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.53645
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.04024
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.00598
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.609
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.95624
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.23272
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.25826
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.48206
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.97051
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.91493
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.49358
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.79809
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.19361
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.21198
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.42506
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.89762
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.81952
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.37257
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.15285
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.16356
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.36555
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.82168
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.71993
±(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.61903
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.10881
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.11224
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.30357
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.78174
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.80187
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.47862
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.78219
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.06261
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88718
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.14328
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.67732
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.67035
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.33304
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.55237
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77626
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82883
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.07363
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.57008
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.53547
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.18259
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.37031
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72499
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76848
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00158
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.48079
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.39739
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.02625
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.18519
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.67201
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70614
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.92727
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.39074
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.25636
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.82263
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.99539
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61736
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.64194
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.85074
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.29815
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.12719
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.61558
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.78918
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56114
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57591
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.77215
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.20308
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.99829
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.40553
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.53749
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50338
› (431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50813
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69157
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.10575
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.86645
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.19427
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.28306
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44416
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43868
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.60907
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.00619
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.73181
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.02171
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.02625
(431.14, 12.19, 342.38) (426.17, 13.47, 302.71) (8.74, 11.99, 17.68) Truck 20.90076
(431.14, 12.19, 342.38) (426.17, 13.47, 302.71) (8.74, 11.99, 17.68) Truck 20.86975
(431.14, 12.19, 342.38) (426.17, 13.47, 302.71) (8.74, 11.99, 17.68) Truck 20.87111
(431.14, 12.19, 342.38) (426.17, 13.47, 302.71) (8.74, 11.99, 17.68) Truck 20.58382
(431.14, 12.19, 342.38) (426.17, 13.47, 302.71) (8.74, 11.99, 17.68) Truck 20.55817
(431.14, 12.19, 342.38) (426.17, 13.47, 302.71) (8.74, 11.99, 17.68) Truck 20.53658
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3835
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36762
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.52476
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.90461
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.5946
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.84624
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.76752
(431.14, 12.19, 342.38) (426.17, 13.47, 302.71) (8.74, 11.99, 17.68) Truck 20.71
(431.14, 12.19, 342.38) (426.17, 13.47, 302.71) (8.74, 11.99, 17.68) Truck 21.29542
(431.14, 12.19, 342.38) (426.17, 13.47, 302.71) (8.74, 11.99, 17.68) Truck 20.69869
(431.14, 12.19, 342.38) (426.17, 13.47, 302.71) (8.74, 11.99, 17.68) Truck 20.66855
(431.14, 12.19, 342.38) (426.17, 13.47, 302.71) (8.74, 11.99, 17.68) Truck 20.64253
(431.14, 12.19, 342.38) (426.17, 13.47, 302.71) (8.74, 11.99, 17.68) Truck 20.62058
(431.14, 12.19, 342.38) (426.17, 13.47, 302.71) (8.74, 11.99, 17.68) Truck 21.14736
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3215
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2951
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.43875
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.80105
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.45498
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.66809
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.37294
(431.14, 12.19, 342.38) (426.17, 13.47, 302.71) (8.74, 11.99, 17.68) Truck 20.52904
(431.14, 12.19, 342.38) (426.17, 13.47, 302.71) (8.74, 11.99, 17.68) Truck 21.2136
(431.14, 12.19, 342.38) (426.17, 13.47, 302.71) (8.74, 11.99, 17.68) Truck 20.51484
(431.14, 12.19, 342.38) (426.17, 13.47, 302.71) (8.74, 11.99, 17.68) Truck 20.48471
(431.14, 12.19, 342.38) (426.17, 13.47, 302.71) (8.74, 11.99, 17.68) Truck 20.45866
(431.14, 12.19, 342.38) (426.17, 13.47, 302.71) (8.74, 11.99, 17.68) Truck 20.43666
(431.14, 12.19, 342.38) (426.17, 13.47, 302.71) (8.74, 11.99, 17.68) Truck 20.76348
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25827
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22108
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.35111
(431.14, 12.19, 342.38) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 14.99327
Á (431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.32195
