¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Å(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.0338
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.13288
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.12531
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.11978
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.11624
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.1147
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.1152
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.11773
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.12229
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.12887
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.13746
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.268693
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.401563
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.542415
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.69195
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.850949
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.032715
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.258557
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.554598
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.881445
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.220592
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.573633
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.00024
º(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.476791
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.912079
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.404139
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83874
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26212
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11907
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.09693
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.33111
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.85954
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.31967
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.85974
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.45805
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.01361
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.27241
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.54175
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.82203
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.268012
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.400843
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.541655
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.691144
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.850094
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.027946
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.247174
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.542068
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.867588
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.219415
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.564164
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.989645
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.467595
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.915523
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.407979
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81471
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.23129
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07815
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.03721
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.23717
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.75658
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.1903
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.73145
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.2612
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.87407
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.1297
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.39573
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.67261
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.267659
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.40047
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.541259
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.690725
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.84965
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.023532
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.235973
Â(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.529742
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.853958
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.213532
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.554988
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.97938
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.456034
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.919588
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.830053
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79041
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.2002
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03694
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.97963
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.14528
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.66202
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.06511
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.60856
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.13219
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.73642
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.99318
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.25525
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.52388
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.267633
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.400444
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.541232
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.690696
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.849619
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.019474
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.225724
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.517618
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.840555
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.19864
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.546104
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.969441
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.444844
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.924277
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.799303
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76594
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16885
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.99536
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.92412
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.05549
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.57067
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.01727
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.49085
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.00871
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.55663
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.85888
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.11391
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.37933
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.267936
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.400763
¹(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.54157
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.691054
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.849999
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.019283
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.221745
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.505697
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.827381
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.184002
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.537511
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.95983
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.434023
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.411119
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.769789
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74123
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13725
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95345
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.9585
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.99927
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.48246
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.0724
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.37833
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.89061
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.36355
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.71327
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.97878
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.24112
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.268566
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.401428
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.542274
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.6918
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.850791
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.020125
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.218144
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.493981
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.814433
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.169621
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.52921
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.950548
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.423573
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.38496
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.741555
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7163
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10536
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91131
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00383
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.01728
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.39739
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.12966
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.27077
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.74576
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.15618
¶(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.55253
