¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
£(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.46159
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.494743
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.970949
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.505646
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11023
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79917
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59134
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51152
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59327
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.88302
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.44667
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.38144
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.83674
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.05445
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.39146
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.36643
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.346
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.33015
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.31887
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.31214
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.30995
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.983031
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.206957
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.449583
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.713309
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.000961
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.315877
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.661994
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.044118
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.468123
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.94113
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.472095
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07217
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75568
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54109
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45286
°(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.52394
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79975
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.34488
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.25421
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.67319
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.83661
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.35314
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.32817
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.30779
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.29198
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.28073
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.27402
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.27186
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.970318
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.193215
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.434642
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.697078
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.983244
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.296397
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.640575
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.020442
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.441788
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.911696
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.43896
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03462
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71271
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4915
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39507
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.45565
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.71786
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.24488
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.1294
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.51305
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.62371
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.31949
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.29457
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.27423
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.25846
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.24724
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.24055
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.23841
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.957721
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.179559
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.419866
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.681027
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.965658
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.277174
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.619404
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.997032
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.41575
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.882572
­(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.406219
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.9975
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67032
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44264
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33808
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38838
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.63728
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.14661
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.00689
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.35616
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.41566
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.29049
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.2656
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.2453
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.22956
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.21836
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.2117
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.20956
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.945243
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.166061
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.405242
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.665078
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.948316
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.258114
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.598436
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.973874
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.390028
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.853831
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.373856
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.960861
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62852
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39445
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28192
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.32215
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.55803
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.05004
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.8867
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.20251
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.18062
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.26608
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.24124
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.22097
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.20525
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.19407
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.18743
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.1853
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.932875
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.152725
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.390769
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.649357
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.931121
«(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.239291
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.57772
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.950963
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.364604
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.825432
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.341911
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.924703
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58723
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34693
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.2266
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25694
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48005
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.95516
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.76878
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.05198
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.91482
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.24627
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.22145
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.2012
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.18551
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.17435
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.16772
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.1656
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.920638
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.139509
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.376438
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.633748
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.91409
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.220671
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.557248
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.928338
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.339469
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.797359
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.3104
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.889011
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54651
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30005
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17208
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19275
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40335
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.86193
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.65306
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.90458
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.74426
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.23102
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.20622
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.186
